Timestamp;Open;High;Low;Close;Volume (BTC);Volume (Currency);Weighted Price
2019-06-18 22:15:00;9007.83;9007.83;8942.89;8953.1;48.14;431702.21;8968.26
2019-06-18 22:20:00;8945.45;8981.8;8941.96;8979.41;27.21;243895.08;8962.94
2019-06-18 22:25:00;8988.21;9035.01;8985.77;9035.01;36.51;329021.02;9011.59
2019-06-18 22:30:00;9034.95;9045.27;9025.73;9036.12;10.45;94447.29;9034.01
2019-06-18 22:35:00;9036.91;9045.79;9024.44;9038.25;8.44;76255.56;9034.98
2019-06-18 22:40:00;9038.25;9046.44;9025.26;9025.26;17.65;159585.76;9040.33
2019-06-18 22:45:00;9025.32;9027.27;9005.84;9017.33;21.81;196564.79;9014.34
2019-06-18 22:50:00;9019.95;9030.11;8985.53;9000.35;15.03;135449.97;9009.87
2019-06-18 22:55:00;9000.35;9009.12;8987.52;9009.12;11.07;99647.95;9001.74
2019-06-18 23:00:00;9011.1;9013.16;8982.72;8992.24;16.32;146802.71;8994.34
2019-06-18 23:05:00;8999.4;9007.24;8985.93;8985.93;7.55;67900.43;8997.69
2019-06-18 23:10:00;8985.85;9000.01;8965.54;8965.54;9.92;89109.21;8980.51
2019-06-18 23:15:00;8965.54;8984.99;8962.15;8974.53;8.52;76453.08;8971.74
2019-06-18 23:20:00;8980.57;8983.79;8964.4;8983.79;13.56;121690.3;8971.23
2019-06-18 23:25:00;8983.98;9022.35;8983.98;9021.54;7.58;68193.94;9001.3
2019-06-18 23:30:00;9025.47;9065;9019.97;9065;32.77;296541.46;9050.28
2019-06-18 23:35:00;9064.99;9074.11;9052.82;9068.99;43.85;397447.73;9063.02
2019-06-18 23:40:00;9063.67;9068.93;9050.1;9057.26;14.47;131020.59;9057.52
2019-06-18 23:45:00;9057.27;9080;9044.26;9080;42.07;381259.52;9062.37
2019-06-18 23:50:00;9080;9096.79;9067.54;9070.37;47.69;433136.03;9082.66
2019-06-18 23:55:00;9066.04;9090.9;9061.51;9078.84;26.6;241684.81;9087.58
2019-06-19 00:00:00;9076.51;9110;9076.51;9110;22.31;203036.19;9101.62
2019-06-19 00:05:00;9109.97;9117.69;9099.48;9100.24;8.81;80241.88;9107.23
2019-06-19 00:10:00;9100.89;9100.89;9065.21;9079.17;21.11;191664.95;9079.81
2019-06-19 00:15:00;9082.16;9086.9;9070;9073.04;6.06;55057.02;9079
2019-06-19 00:20:00;9073.04;9097.29;9073.04;9093.6;5.84;53080.13;9084.79
2019-06-19 00:25:00;9085.28;9086.08;9077.07;9085.56;2.34;21234.09;9082.68
2019-06-19 00:30:00;9084.47;9085.35;9062.48;9062.48;5.35;48567.68;9072.85
2019-06-19 00:35:00;9062.48;9083.88;9055.39;9062.88;12.14;110047.42;9065.62
2019-06-19 00:40:00;9059.52;9072.06;9050.9;9055.67;2.87;25964.92;9054.92
2019-06-19 00:45:00;9043.22;9081.05;9036.19;9081.05;11.89;107665.83;9052.98
2019-06-19 00:50:00;9073.64;9133.18;9073.64;9128.17;70.34;641381.78;9118.47
2019-06-19 00:55:00;9128.15;9175.43;9128.15;9167.05;58.04;531264.01;9153.3
2019-06-19 01:00:00;9169.97;9180.83;9146.79;9165.05;15.26;139971.04;9173.83
2019-06-19 01:05:00;9163.72;9166.02;9140.02;9140.02;10.54;96458.58;9150.42
2019-06-19 01:10:00;9145.57;9164.86;9140.02;9164.86;20.96;191730.15;9149.19
